Size       Cycles/Element for sum_clang6_O: simple C compiled with clang 6 -O -mavx2
16            4.88
32            3.38
64            1.12
128           0.56
256           0.33
512           0.18
1024          0.11
2048          0.08
4096          0.07
8192          0.06
16384         0.05
32768         0.10
65536         0.08
131072        0.13
262144        0.17
524288        0.17
1048576       0.16


Size       Cycles/Element for sum_gcc7_O3: simple C compiled with GCC7 -O3 -mavx2
16            3.94
32            1.41
64            0.75
128           0.40
256           0.23
512           0.15
1024          0.12
2048          0.10
4096          0.08
8192          0.08
16384         0.08
32768         0.08
65536         0.08
131072        0.10
262144        0.12
524288        0.12
1048576       0.12


Size       Cycles/Element for sum_C: simple C compiled on this machine with settings in Makefile
16            2.44
32            1.59
64            1.59
128           1.27
256           1.10
512           1.03
1024          0.99
2048          0.96
4096          0.95
8192          0.96
16384         0.96
32768         0.96
65536         0.96
131072        0.96
262144        0.96
524288        0.96
1048576       0.96


Size       Cycles/Element for sum_simple: simple ASM implementation
16            2.44
32            1.59
64            1.69
128           1.29
256           1.08
512           1.01
1024          0.97
2048          0.97
4096          0.96
8192          1.03
16384         1.03
32768         0.96
65536         0.96
131072        0.96
262144        0.95
524288        0.95
1048576       1.03


Size       Cycles/Element for sum_unrolled2
16            2.25
32            1.50
64            1.08
128           0.96
256           0.95
512           0.86
1024          0.80
2048          0.79
4096          0.79
8192          0.81
16384         0.81
32768         0.81
65536         0.78
131072        0.78
262144        0.78
524288        0.78
1048576       0.78


Size       Cycles/Element for sum_unrolled4
16            2.06
32            1.41
64            1.12
128           0.94
256           0.86
512           0.79
1024          0.83
2048          0.82
4096          0.81
8192          0.81
16384         0.81
32768         0.78
65536         0.81
131072        0.78
262144        0.81
524288        0.78
1048576       0.78


Size       Cycles/Element for sum_multiple_accum
16            2.25
32            1.31
64            0.94
128           0.82
256           0.66
512           0.52
1024          0.52
2048          0.51
4096          0.49
8192          0.49
16384         0.49
32768         0.50
65536         0.49
131072        0.49
262144        0.49
524288        0.45
1048576       0.46
